Taxon	6.147.1	2.32.1	6.147.3	6.19.2	4.161.3	6.19.1	5.131.3	2.79.1	1.507.1	2.52.2	6.184.1	4.161.1	2.45.1	5.131.1	4.75.3	3.33.1	1.203.2	1.110.2	1.56.2	4.60.1	6.84.1	2.503.1	2.25.1	1.97.2	2.199.1	5.125.3	1.153.1	2.47.2	1.97.1	1.511.2	3.31.1	6.181.3	1.68.2	1.9.1	2.47.1	2.79.2	4.87.1	1.9.2	4.87.2	5.131.2	2.25.2	1.153.2	2.26.2	1.49.2	4.87.3	6.181.1	2.76.1	2.126.1	4.68.3	3.43.3	1.72.1	2.144.1	4.75.1	1.506.1	3.107.1	6.184.2	2.52.1	1.7.1	4.75.2	1.8.1	1.50.2	1.154.2	1.8.2	2.33.2	2.510.1	2.24.2	2.32.2	6.184.3	5.125.1	1.49.1	5.136.1	1.511.1	2.504.2	2.76.2	5.136.3	2.81.2	1.154.1	2.24.1	2.126.2	2.157.2	4.68.1	1.91.2	1.121.1	5.125.2	1.68.1	6.147.2	1.155.2	2.504.1	2.1.1	5.127.3	6.84.3	2.48.2	1.39.2	1.95.2	1.39.1	2.26.1	1.121.2	3.98.1	3.43.2	3.33.3	6.84.2	1.120.2	1.56.1	6.19.3	2.45.2	2.33.1	1.110.1	1.63.1	2.144.2	2.48.1	4.161.2	1.203.1	1.506.2	1.7.2	1.120.1	2.81.1	6.181.2	3.33.2	2.57.1	4.60.3	3.45.1	3.43.1	2.55.1	2.116.1	5.127.1	3.107.3	1.72.2	3.107.2	5.136.2	1.155.1	1.63.2	2.1.2	1.50.1	4.93.1	3.98.3	2.57.2	3.98.2	4.93.3	2.116.2	3.45.2	1.91.1	4.93.2	3.45.3	2.157.1	4.68.2	1.95.1	4.60.2	2.510.2	5.127.2	5.63.3	5.63.2	3.31.2	3.31.3	2.503.2	2.55.2	5.63.1	2.199.2	1.507.2
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces	0.0	1.0	3.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	10.0	6.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	9.0	1.0	0.0	0.0	4.0	0.0	0.0	12.0	0.0	4.0	1.0	61.0	1.0	3.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	0.0	2.0	0.0	3.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	13.0	3.0	0.0	0.0	6.0	0.0	0.0	1.0	1.0	4.0	0.0	2.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	3.0	2.0	2.0	0.0	0.0	0.0	18.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Cellulomonadaceae;Cellulomonas	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Corynebacteriaceae;Corynebacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Kocuria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Actinomycetales;Micrococcaceae;Rothia	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	0.0	9.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	9.0	194.0	116.0	68.0	20.0	77.0	3.0	525.0	33.0	149.0	22.0	44.0	2.0	19.0	19.0	46.0	76.0	212.0	0.0	13.0	168.0	195.0	4677.0	410.0	132.0	401.0	26.0	0.0	2152.0	213.0	2.0	162.0	0.0	4062.0	1.0	338.0	512.0	651.0	34.0	0.0	102.0	606.0	10.0	130.0	35.0	424.0	283.0	12.0	4.0	15.0	203.0	357.0	61.0	988.0	226.0	25.0	239.0	440.0	7.0	1705.0	27.0	38.0	113.0	210.0	1402.0	705.0	8.0	71.0	85.0	16.0	8.0	22.0	4.0	99.0	161.0	296.0	483.0	766.0	123.0	121.0	2.0	3.0	542.0	404.0	2.0	18.0	1272.0	22.0	178.0	40.0	292.0	3.0	480.0	1.0	820.0	555.0	1013.0	59.0	34.0	266.0	26.0	7.0	0.0	40.0	4.0	1021.0	27.0	82.0	27.0	0.0	0.0	477.0	590.0	243.0	2.0	130.0	435.0	162.0	131.0	5.0	13.0	100.0	556.0	11.0	6.0	118.0	1032.0	5.0	71.0	2800.0	212.0	309.0	38.0	2.0	61.0	39.0	22.0	0.0	0.0	236.0	44.0	0.0	13.0	36.0	0.0	10.0	0.0	79.0	15.0	1687.0	231.0	167.0	13.0	2.0	98.0	3.0	437.0	40.0
Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Scardovia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Adlercreutzia	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	0.0	5.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Atopobium	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Collinsella	9.0	0.0	90.0	4.0	34.0	6.0	1455.0	0.0	0.0	0.0	0.0	13.0	0.0	283.0	0.0	26.0	0.0	49.0	16.0	17.0	249.0	0.0	158.0	2.0	0.0	140.0	20.0	3.0	201.0	241.0	4.0	76.0	0.0	0.0	10.0	13.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	68.0	0.0	903.0	4.0	55.0	14.0	12.0	0.0	10.0	0.0	446.0	91.0	1.0	2.0	382.0	0.0	0.0	0.0	0.0	0.0	314.0	22.0	27.0	27.0	17.0	462.0	13.0	57.0	5.0	0.0	0.0	45.0	27.0	56.0	242.0	52.0	0.0	26.0	0.0	38.0	139.0	0.0	5.0	50.0	0.0	89.0	53.0	183.0	30.0	59.0	0.0	12.0	72.0	67.0	88.0	4.0	10.0	75.0	2.0	26.0	57.0	0.0	304.0	135.0	77.0	0.0	2.0	3.0	57.0	49.0	6.0	0.0	46.0	253.0	36.0	29.0	11.0	13.0	4.0	29.0	5.0	35.0	26.0	0.0	0.0	2.0	34.0	334.0	29.0	8.0	86.0	84.0	25.0	9.0	7.0	0.0	18.0	0.0	3.0	40.0	0.0	3.0	0.0	0.0	4.0	8.0	861.0	56.0	16.0	2.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Eggerthella	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	10.0	4.0	47.0	0.0	0.0	8.0	7.0	4.0	0.0	7.0	11.0	0.0	23.0	4.0	1.0	2.0	6.0	0.0	0.0	12.0	0.0	5.0	0.0	0.0	0.0	0.0	21.0	1.0	10.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	25.0	0.0	0.0	4.0	1.0	1.0	0.0	5.0	1.0	19.0	1.0	0.0	0.0	1.0	0.0	12.0	1.0	2.0	1.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	2.0	34.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	2.0	10.0	0.0	0.0	0.0	0.0	0.0	4.0	18.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enorma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Gordonibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	6.0	0.0	0.0	7.0	0.0	7.0	10.0	9.0	33.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	7.0	1.0	8.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	2.0	1.0	2.0	0.0	0.0	7.0	4.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	4.0	3.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Olsenella	0.0	5.0	14.0	1.0	3.0	0.0	280.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Slackia	0.0	0.0	11.0	3.0	3.0	3.0	93.0	11.0	0.0	0.0	3.0	0.0	0.0	52.0	0.0	0.0	0.0	1.0	17.0	0.0	22.0	0.0	0.0	0.0	0.0	5.0	0.0	10.0	1.0	0.0	0.0	0.0	0.0	0.0	10.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	3.0	0.0	231.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	5.0	10.0	9.0	3.0	1.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0	5.0	0.0	0.0	0.0	0.0	0.0	3.0	6.0	0.0	3.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	27.0	28.0	14.0	0.0	3.0	11.0	1.0	4.0	0.0	0.0	43.0	3.0	18.0	0.0	4.0	4.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	43.0	1.0	5.0	2.0	19.0	0.0	16.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;unclassified	0.0	20.0	4.0	4.0	6.0	5.0	63.0	0.0	0.0	0.0	1.0	3.0	0.0	34.0	0.0	0.0	0.0	4.0	23.0	8.0	0.0	0.0	15.0	16.0	1.0	1.0	6.0	5.0	70.0	9.0	16.0	41.0	0.0	3.0	75.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	4.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	8.0	0.0	13.0	3.0	0.0	6.0	0.0	0.0	0.0	7.0	4.0	0.0	1.0	13.0	0.0	0.0	0.0	3.0	0.0	18.0	1.0	0.0	1.0	13.0	0.0	7.0	5.0	0.0	1.0	45.0	0.0	6.0	4.0	0.0	0.0	24.0	0.0	19.0	20.0	0.0	8.0	0.0	0.0	0.0	1.0	2.0	17.0	0.0	1.0	0.0	39.0	2.0	0.0	1.0	4.0	0.0	1.0	0.0	1.0	9.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	30.0	1.0	4.0	1.0	22.0	1.0	0.0	6.0	3.0	0.0	28.0	0.0	0.0	44.0	1.0	0.0	0.0	3.0	10.0	1.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
